Path,ClientComputerName,ClientUserName
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\IPS\MI_EXTRACTS,10.212.97.111,UK\singa155
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\IPS\MI_EXTRACTS,10.212.97.88,UK\singa155
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\IPS\MI_EXTRACTS\IPS_MI_20191016173404,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\IPS\MI_EXTRACTS\IPS_MI_20191017060402,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Itron_Reports,10.210.114.118,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Itron_Reports,10.210.114.97,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Itron_Reports,10.212.161.100,UK\gawadeg
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Itron_Reports,10.212.161.15,UK\mehtam2
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Itron_Reports,10.212.97.111,UK\singa155
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\Itron_Reports,10.212.97.88,UK\singa155
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.105.18.82,UK\doshik
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.105.20.4,UK\s8038920
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.110.136.21,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.110.136.22,UK\ZZ_MFT_EFT
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.123.86.36,UK\fowlerd2
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.123.86.87,UK\agfu4870
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.123.88.84,UK\follettd
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.17.228.33,UK\tha02112
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.176.136.62,UK\s8117219
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.176.96.178,UK\cankd
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.210.112.137,UK\doshik
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.210.114.118,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.210.114.97,UK\s8117068
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.210.116.161,UK\s8117219
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.210.119.109,UK\danilins
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.210.175.120,UK\taylod30
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.161.100,UK\gawadeg
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.161.108,UK\kataria1
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.161.125,UK\singhanp
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.161.15,UK\mehtam2
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.97.111,UK\singa155
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.97.47,UK\pawarh3
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.97.58,UK\abrolr
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.97.72,UK\guptah9
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.212.97.88,UK\singa155
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.64.194.151,UK\cankd
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.64.194.151,UK\s8117219
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.64.194.151,UK\s8406518
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.64.194.153,UK\s0000v6
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.64.194.153,UK\sumanan
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.72.131.56,UK\taylod46
F:\Shares\BG_NA23_PROD_01\BG_File_Achiving\MARKETFLOW,10.80.104.102,UK\linkem
